,company_id,assets,nace_2digit,nace_4digit,countryisocode,is_biotech
543,9629942,8233998.0,56.0,5610.0,NO,False
544,9635226,6918051.0,72.0,7211.0,BE,True
545,9653638,35339100000.0,20.0,2042.0,FR,False
546,9682618,21096784000.0,64.0,6420.0,FR,False
547,9688567,6270888.0,72.0,7211.0,BE,True
548,9690831,,,,FR,False
549,9707642,,,,HK,False
550,9716962,18446714000.0,64.0,6419.0,FR,False
551,9726823,389333000.0,64.0,6419.0,AT,False
552,9734764,511474849.0,66.0,6630.0,FR,False
553,9751811,1063690710.0,82.0,8299.0,AT,False
554,9752696,257555733.0,73.0,7320.0,BE,False
555,9772450,,,,ES,False
556,9791631,,,,AT,False
557,9810991,,,,BE,False
558,9825183,,,,BE,False
559,9841107,,,,FR,False
560,9898036,,,,BE,False
561,9899335,,70.0,7010.0,AT,False
562,9902821,372573391.0,65.0,6511.0,SE,False
563,9919380,73348427.0,64.0,6499.0,SE,False
564,9924118,106010746.0,66.0,6630.0,SE,False
565,9991869,,,,SE,False
566,10006646,34198062.0,70.0,6420.0,BE,False
567,10033959,381903461.0,64.0,6420.0,FR,False
568,10040421,4623768.0,64.0,6420.0,BE,False
569,10052830,12388980000.0,64.0,6419.0,FR,False
570,10057523,,,,US,False
571,10125933,,,,FI,False
572,10230679,21433257000.0,64.0,6419.0,FR,False
573,10240165,,,,BE,False
574,10279829,4187865.0,27.0,2732.0,BE,False
575,10285518,,,,AT,False
576,10368557,,,,BE,False
577,10381319,,,,US,False
578,10395070,,,,GB,False
579,10430400,321929188.0,66.0,6619.0,SE,False
580,10471465,,,,BE,False
581,10476013,5147000000.0,24.0,7010.0,FR,False
582,10478927,12393110.0,70.0,7010.0,AT,False
583,10485617,,,,US,False
584,10499499,,,,US,False
585,10518929,,,,BE,False
586,10547571,731923000.0,66.0,6630.0,FR,False
587,10564391,1886731944.0,35.0,3511.0,BE,False
588,10590858,,,,SE,False
589,10620203,33915689661.0,65.0,6511.0,SE,False
590,10621252,,,,FR,False
591,10637312,,,,AT,False
592,10640847,,,,BE,False
593,10647087,,,,BE,False
594,10662465,,94.0,9411.0,SE,False
595,10664933,,,,NO,False
596,10672341,,,,BE,False
597,10678755,13836455.0,46.0,4673.0,BE,False
598,10683043,,64.0,7010.0,AT,False
599,10695914,18349673000.0,64.0,6419.0,FR,False
600,10701054,,,,CH,False
601,10707394,,,,NO,False
602,10728193,,,,BE,False
603,10748441,28911754.0,66.0,6630.0,SE,False
604,10759461,55259571971.0,65.0,6500.0,SE,False
605,10776089,,,,FI,False
606,10848170,,,,BE,False
607,10848719,1121726839.0,64.0,6499.0,GB,False
608,10896449,,,,LU,False
609,10905436,,,,GB,False
610,10927239,,,,BE,False
611,10970533,14033709.0,45.0,4511.0,BE,False
612,10972316,,,,NO,False
613,10981372,333633000000.0,64.0,6419.0,FR,False
614,10981483,1773810548.0,64.0,6420.0,BE,False
615,10984462,304138677.0,64.0,6499.0,ES,False
616,11010056,,,,BE,False
617,11012545,,,,NO,False
618,11021359,,,,BE,False
619,11044799,36937677662.0,65.0,6511.0,SE,False
620,11047885,286325435.0,46.0,4646.0,BE,False
621,11077440,,,,FR,False
622,11088869,25294307.0,43.0,4312.0,FR,False
623,11126963,2246238000.0,64.0,6420.0,BE,False
624,11151728,,,,SE,False
625,11197139,,,,BE,False
626,11209900,,,,SE,False
627,11226551,,,,US,False
628,11229129,27584240000.0,64.0,6419.0,FR,False
629,11241937,2486962789.0,70.0,7010.0,GB,False
630,11252370,,,,BE,False
631,11262341,,,,US,False
632,11274972,192931842000.0,64.0,6419.0,BE,False
633,11333699,10985175000.0,64.0,6419.0,FR,False
634,11370223,,,,BE,False
635,11392941,,,,BE,False
636,11438981,47435322.0,70.0,7010.0,AT,False
637,11447709,7808252.0,68.0,6820.0,NO,False
638,11451644,996000000.0,64.0,6419.0,AT,False
639,11452297,,66.0,6612.0,SE,False
640,11453290,60640927.0,20.0,2011.0,BE,False
641,11457736,19113952000.0,64.0,6419.0,FR,False
642,11490978,98456000000.0,64.0,6419.0,FI,False
643,11503372,,,,NO,False
644,11504691,20257894000.0,64.0,6419.0,FR,False
645,11509002,36620227.0,64.0,6420.0,ES,False
646,11513595,,,,AT,False
647,11514861,1055402934.0,64.0,6499.0,GB,False
648,11586048,13123115973.0,68.0,7010.0,SE,False
649,11591975,,,,FI,False
650,11622636,,,,SE,False
651,11622813,898076869.0,65.0,6511.0,SE,False
652,11623660,60143941.0,66.0,6630.0,SE,False
653,11653087,,,,BE,False
654,11658987,27037931000.0,64.0,6419.0,FR,False
655,11667335,,,,LU,False
656,11687645,143806007000.0,64.0,6419.0,BE,False
657,11742588,,,,US,False
658,11744164,,,,AT,False
659,11764530,751325.0,25.0,2562.0,BE,False
660,11775163,,,,GB,False
661,11785938,23940090.0,66.0,6619.0,BE,False
662,11790314,461717000.0,64.0,6419.0,AT,False
